V3	V4	V6	name	time
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR122/ERR12258952/MQ220906-01_S1_L001_R1_001.fastq.gz	MQ220906-01_S1_L001_R1_001.fastq.gz	MQ22090601	MQ22090601	T1
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR122/ERR12258952/MQ220906-01_S1_L001_R2_001.fastq.gz	MQ220906-01_S1_L001_R2_001.fastq.gz	MQ22090601	MQ22090601	T1
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR122/ERR12258954/MQ220906-148_S148_L001_R1_001.fastq.gz	MQ220906-148_S148_L001_R1_001.fastq.gz	MQ220906148	MQ220906148	T1
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR122/ERR12258954/MQ220906-148_S148_L001_R2_001.fastq.gz	MQ220906-148_S148_L001_R2_001.fastq.gz	MQ220906148	MQ220906148	T1
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR122/ERR12258958/MQ220906-149_S149_L001_R1_001.fastq.gz	MQ220906-149_S149_L001_R1_001.fastq.gz	MQ220906149	MQ220906149	T1
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR122/ERR12258958/MQ220906-149_S149_L001_R2_001.fastq.gz	MQ220906-149_S149_L001_R2_001.fastq.gz	MQ220906149	MQ220906149	T1
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR122/ERR12258961/MQ220906-151_S151_L001_R1_001.fastq.gz	MQ220906-151_S151_L001_R1_001.fastq.gz	MQ220906151	MQ220906151	T1
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR122/ERR12258961/MQ220906-151_S151_L001_R2_001.fastq.gz	MQ220906-151_S151_L001_R2_001.fastq.gz	MQ220906151	MQ220906151	T1
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR122/ERR12258963/MQ220906-07_S7_L001_R1_001.fastq.gz	MQ220906-07_S7_L001_R1_001.fastq.gz	MQ22090607	MQ22090607	T1
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR122/ERR12258963/MQ220906-07_S7_L001_R2_001.fastq.gz	MQ220906-07_S7_L001_R2_001.fastq.gz	MQ22090607	MQ22090607	T1
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR122/ERR12258964/MQ220906-153_S153_L001_R1_001.fastq.gz	MQ220906-153_S153_L001_R1_001.fastq.gz	MQ220906153	MQ220906153	T1
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR122/ERR12258964/MQ220906-153_S153_L001_R2_001.fastq.gz	MQ220906-153_S153_L001_R2_001.fastq.gz	MQ220906153	MQ220906153	T1
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR122/ERR12258965/MQ220906-154_S154_L001_R1_001.fastq.gz	MQ220906-154_S154_L001_R1_001.fastq.gz	MQ220906154	MQ220906154	T1
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR122/ERR12258965/MQ220906-154_S154_L001_R2_001.fastq.gz	MQ220906-154_S154_L001_R2_001.fastq.gz	MQ220906154	MQ220906154	T1
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR122/ERR12258968/MQ220906-156_S156_L001_R1_001.fastq.gz	MQ220906-156_S156_L001_R1_001.fastq.gz	MQ220906156	MQ220906156	T1
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR122/ERR12258968/MQ220906-156_S156_L001_R2_001.fastq.gz	MQ220906-156_S156_L001_R2_001.fastq.gz	MQ220906156	MQ220906156	T1
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR122/ERR12258972/MQ220906-12_S12_L001_R1_001.fastq.gz	MQ220906-12_S12_L001_R1_001.fastq.gz	MQ22090612	MQ22090612	T1
ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR122/ERR12258972/MQ220906-12_S12_L001_R2_001.fastq.gz	MQ220906-12_S12_L001_R2_001.fastq.gz	MQ22090612	MQ22090612	T1
